nProcess,lenSequences,type,timeElapsed[s]
1,1,0,8.059e-06
1,1,1,7.604e-06
2,1,0,3.2626e-05
2,1,1,2.1973e-05
3,1,0,7.1731e-05
3,1,1,3.1629e-05
4,1,0,4.8186e-05
4,1,1,2.9714e-05
1,100,0,0.000255913
1,100,1,0.000236457
2,100,0,0.000316675
2,100,1,0.000223696
3,100,0,0.000447004
3,100,1,0.000513244
4,100,0,0.000438007
4,100,1,0.000486103
1,1000,0,0.028697
1,1000,1,0.0189545
2,1000,0,0.0135426
2,1000,1,0.0106473
3,1000,0,0.014057
3,1000,1,0.0133017
4,1000,0,0.016483
4,1000,1,0.013609
1,10000,0,2.66897
1,10000,1,2.46535
2,10000,0,2.107
2,10000,1,1.43895
3,10000,0,1.12072
3,10000,1,0.998549
4,10000,0,1.01908
4,10000,1,1.07877
1,100000,0,234.21
1,100000,1,162.87
2,100000,0,130.412
2,100000,1,103.027
3,100000,0,95.1402
3,100000,1,76.5856
4,100000,0,96.7586
4,100000,1,78.3973
1,15000,0,5.9806
1,15000,1,4.01956
2,15000,0,2.57191
2,15000,1,2.24076
3,15000,0,2.21164
3,15000,1,2.19658
4,15000,0,1.94052
4,15000,1,1.66626
1,200,0,0.00180043
1,200,1,0.000940489
2,200,0,0.000870798
2,200,1,0.00087466
3,200,0,0.000659603
3,200,1,0.000607558
4,200,0,0.000739818
4,200,1,0.0012475
1,2000,0,0.130133
1,2000,1,0.0755889
2,2000,0,0.0512913
2,2000,1,0.0427847
3,2000,0,0.0368385
3,2000,1,0.0472331
4,2000,0,0.0373497
4,2000,1,0.0385215
1,20000,0,8.8095
1,20000,1,7.06521
2,20000,0,4.64738
2,20000,1,3.8781
3,20000,0,4.16629
3,20000,1,3.58445
4,20000,0,2.99023
4,20000,1,2.78592
1,30000,0,20.6919
1,30000,1,14.6995
2,30000,0,10.913
2,30000,1,8.57527
3,30000,0,8.97605
3,30000,1,6.96753
4,30000,0,6.85831
4,30000,1,6.36817
1,40000,0,34.7981
1,40000,1,26.1952
2,40000,0,22.088
2,40000,1,17.1491
3,40000,0,14.909
3,40000,1,12.5611
4,40000,0,12.0658
4,40000,1,10.8044
1,500,0,0.00774284
1,500,1,0.00565038
2,500,0,0.00509565
2,500,1,0.00346396
3,500,0,0.00324568
3,500,1,0.00307755
4,500,0,0.00411939
4,500,1,0.0056969
1,2000,0,0.111521
1,2000,1,0.110945
2,2000,0,0.0650884
2,2000,1,0.0490834
3,2000,0,0.0467839
3,2000,1,0.0314587
4,2000,0,0.0411797
4,2000,1,0.0352675
1,50000,0,52.2475
1,50000,1,40.7851
2,50000,0,29.9771
2,50000,1,23.8565
3,50000,0,22.0483
3,50000,1,18.0805
4,50000,0,19.4037
4,50000,1,17.4363
1,60000,0,77.7965
1,60000,1,58.5776
2,60000,0,42.7313
2,60000,1,33.4444
3,60000,0,30.9715
3,60000,1,27.5389
4,60000,0,27.1737
4,60000,1,26.291
1,70000,0,99.7447
1,70000,1,81.8319
2,70000,0,57.439
2,70000,1,46.4201
3,70000,0,42.2274
3,70000,1,37.2514
4,70000,0,37.9549
4,70000,1,36.2594
1,80000,0,130.055
1,80000,1,100.837
2,80000,0,75.3552
2,80000,1,59.8025
3,80000,0,55.4461
3,80000,1,46.9695
4,80000,0,49.7357
4,80000,1,44.4406
1,90000,0,165.717
1,90000,1,129.494
2,90000,0,94.767
2,90000,1,76.5482
3,90000,0,75.1596
3,90000,1,59.9331
4,90000,0,65.3624
4,90000,1,58.1575
