nProcess,lenSequences,type,timeElapsed[s]
1,1,0,1.1533e-05
1,1,1,1.0037e-05
2,1,0,3.4147e-05
2,1,1,2.5289e-05
3,1,0,3.6049e-05
3,1,1,3.2436e-05
4,1,0,6.3027e-05
4,1,1,3.8094e-05
1,100,0,0.000303468
1,100,1,0.00032756
2,100,0,0.00044262
2,100,1,0.000255218
3,100,0,0.000375846
3,100,1,0.000603125
4,100,0,0.000523761
4,100,1,0.000581018
1,1000,0,0.029606
1,1000,1,0.0189356
2,1000,0,0.013919
2,1000,1,0.0108886
3,1000,0,0.0154965
3,1000,1,0.00834575
4,1000,0,0.00783947
4,1000,1,0.0143614
1,10000,0,2.30918
1,10000,1,2.15189
2,10000,0,1.46781
2,10000,1,1.42368
3,10000,0,1.37187
3,10000,1,1.1897
4,10000,0,0.886623
4,10000,1,0.78502
1,100000,0,205.114
1,100000,1,156.721
2,100000,0,119.423
2,100000,1,92.2238
3,100000,0,85.5322
3,100000,1,65.6214
4,100000,0,73.1783
4,100000,1,59.8843
1,15000,0,4.72425
1,15000,1,4.11049
2,15000,0,2.50458
2,15000,1,2.19433
3,15000,0,1.87706
3,15000,1,1.46491
4,15000,0,1.35428
4,15000,1,1.23117
1,200,0,0.000967003
1,200,1,0.000847392
2,200,0,0.000695423
2,200,1,0.000594947
3,200,0,0.0010247
3,200,1,0.000630796
4,200,0,0.000889186
4,200,1,0.000799568
1,2000,0,0.0926357
1,2000,1,0.0758174
2,2000,0,0.0513037
2,2000,1,0.064325
3,2000,0,0.0491002
3,2000,1,0.0550897
4,2000,0,0.042049
4,2000,1,0.0473669
1,20000,0,8.72012
1,20000,1,6.5092
2,20000,0,4.35396
2,20000,1,4.36815
3,20000,0,3.54762
3,20000,1,2.63061
4,20000,0,2.4215
4,20000,1,2.40653
1,30000,0,17.9301
1,30000,1,14.4692
2,30000,0,11.5456
2,30000,1,8.4235
3,30000,0,6.99775
3,30000,1,7.67485
4,30000,0,6.31547
4,30000,1,5.73759
1,40000,0,32.3713
1,40000,1,25.6719
2,40000,0,19.0424
2,40000,1,14.761
3,40000,0,13.0201
3,40000,1,10.6257
4,40000,0,10.8273
4,40000,1,10.2079
1,500,0,0.00703207
1,500,1,0.00570873
2,500,0,0.00474561
2,500,1,0.00343229
3,500,0,0.00339783
3,500,1,0.0029998
4,500,0,0.00443965
4,500,1,0.00570278
1,2000,0,0.110777
1,2000,1,0.0887736
2,2000,0,0.0611506
2,2000,1,0.0483515
3,2000,0,0.0420538
3,2000,1,0.0357046
4,2000,0,0.0435822
4,2000,1,0.0310854
1,50000,0,50.5752
1,50000,1,39.4133
2,50000,0,29.074
2,50000,1,23.1242
3,50000,0,20.065
3,50000,1,16.2975
4,50000,0,18.545
4,50000,1,15.3107
1,60000,0,70.7751
1,60000,1,55.7826
2,60000,0,40.2368
2,60000,1,33.0921
3,60000,0,28.0222
3,60000,1,26.9005
4,60000,0,25.7704
4,60000,1,21.739
1,70000,0,97.1971
1,70000,1,75.6718
2,70000,0,55.9805
2,70000,1,45.3485
3,70000,0,38.3476
3,70000,1,33.899
4,70000,0,35.563
4,70000,1,29.9133
1,80000,0,123.679
1,80000,1,100.278
2,80000,0,72.0551
2,80000,1,59.3503
3,80000,0,49.9662
3,80000,1,43.365
4,80000,0,46.0473
4,80000,1,38.5993
1,90000,0,157.686
1,90000,1,125.19
2,90000,0,89.7663
2,90000,1,74.1087
3,90000,0,63.1811
3,90000,1,58.6276
4,90000,0,57.8908
4,90000,1,48.7064
