lenSequences,type,lcs,timeElapsed[s]
1,0,0,0.000478656
1,1,0,0.000465888
100,0,57,0.00622352
100,1,57,0.000903296
1000,0,643,0.0128068
1000,1,643,0.00377805
10000,0,6532,0.147137
10000,1,6532,0.112369
100000,0,65389,11.9749
100000,1,65389,8.80414
15000,0,39573,0.314936
15000,1,9780,0.237452
200,0,127,0.00165229
200,1,127,0.0012056
2000,0,1302,0.0146108
2000,1,1302,0.00803155
20000,0,13082,0.547792
20000,1,13082,0.413682
30000,0,19596,1.20089
30000,1,19596,0.85266
40000,0,41837,2.04411
40000,1,26149,1.49184
500,0,317,0.00361094
500,1,317,0.00232461
2000,0,1296,0.0146207
2000,1,1296,0.0137012
50000,0,32687,3.13849
50000,1,32687,2.28436
60000,0,39231,4.4533
60000,1,39231,3.25095
70000,0,45836,6.08719
70000,1,45836,4.36661
80000,0,52308,8.15108
80000,1,52308,6.16646
90000,0,58830,11.2073
90000,1,58830,9.09413
1,0,0,0.000486464
1,1,0,0.0004992
100,1,57,0.000879648
100,0,57,0.00362218
100,0,57,0.00110707
1,1,0,0.00051648
200,1,127,0.00125194
1,1,0,0.00048544
1,0,0,0.000474784
1,1,0,0.000490176
1,0,0,0.000593408
1,0,-16777216,0.000478368
1,0,-16777216,0.000583488
1,0,-16777216,0.00051328
1,0,-16777216,0.000477728
1,0,-16777216,0.000523648
1,0,0,0.000484288
1,0,0,0.00057648
1,0,0,0.00052992
90000,1,58830,9.06156
1,0,0,0.00065808
1,0,0,0.000669472
1,0,0,0.00110739
1,0,0,0.0005912
1,0,0,0.000502464
1,0,0,0.00654771
1,0,0,0.00054064
1,0,1,0.000525024
1,0,1,0.000601056
100,0,57,0.00620179
1000,0,643,0.00754038
10000,0,6532,0.175984
100000,0,65389,14.5683
15000,0,9780,0.383179
200,0,128,0.00291872
2000,0,1303,0.0210005
20000,0,13082,0.667584
1,1,0,0.000620256
1,1,1,0.000507296
100,1,57,0.000967616
1000,1,643,0.00991952
10000,1,6532,0.134987
200,1,128,0.00127405
15000,1,9780,0.286464
2000,1,1303,0.0137159
2000,0,1303,0.0201482
2000,1,1303,0.0080889
70000,1,45837,5.31918
