lenSequences,type,lcs,timeElapsed[s]
1,0,0,0.000481376
1,1,0,0.000475552
100,0,57,0.0010665
100,1,57,0.00205936
1000,0,643,0.0126813
1000,1,643,0.00915037
10000,0,6532,0.149382
10000,1,6532,0.106868
100000,0,65389,11.9605
100000,1,65389,8.79692
15000,0,39573,0.317977
15000,1,9780,0.23548
200,0,127,0.00164454
200,1,127,0.00119683
2000,0,1302,0.0198554
2000,1,1302,0.00967018
20000,0,13082,0.549161
20000,1,13082,0.409199
30000,0,19596,1.19815
30000,1,19596,0.860462
40000,0,41837,2.0452
40000,1,26149,1.49205
500,0,317,0.0091791
500,1,317,0.00219408
2000,0,1296,0.0146091
2000,1,1296,0.0108883
50000,0,32687,3.14466
50000,1,32687,2.27651
60000,0,39231,4.4545
60000,1,39231,3.25673
70000,0,45836,6.09272
70000,1,45836,4.43555
80000,0,52308,8.32693
80000,1,52308,6.62065
90000,0,58830,12.2882
90000,1,58830,7.01412
