nThreads,lenSequences,type,lcs,timeElapsed[s]
1,1,0,0,0
1,1,1,1,0
2,1,0,0,0
2,1,1,1,0
3,1,0,0,0
3,1,1,1,0
4,1,0,0,0
4,1,1,1,0
5,1,0,0,0
5,1,1,1,0
6,1,0,0,0
6,1,1,1,0
7,1,0,0,0
7,1,1,1,0
8,1,0,0,0.007
8,1,1,1,0.001
1,100,0,57,0
1,100,1,57,0
2,100,0,57,0
2,100,1,57,0
3,100,0,57,0
3,100,1,57,0
4,100,0,57,0
4,100,1,57,0
5,100,0,57,0.001
5,100,1,57,0
6,100,0,57,0
6,100,1,57,0.001
7,100,0,57,0.001
7,100,1,57,0.002
8,100,0,57,0.001
8,100,1,57,0.001
1,1000,0,643,0.021
1,1000,1,643,0.009
2,1000,0,643,0.011
2,1000,1,643,0.006
3,1000,0,643,0.01
3,1000,1,643,0.005
4,1000,0,643,0.007
4,1000,1,643,0.004
5,1000,0,643,0.008
5,1000,1,643,0.005
6,1000,0,643,0.007
6,1000,1,643,0.004
7,1000,0,643,0.008
7,1000,1,643,0.004
8,1000,0,643,0.011
8,1000,1,643,0.006
1,10000,0,6532,1.674
1,10000,1,6532,0.98
2,10000,0,6532,0.925
2,10000,1,6532,0.51
3,10000,0,6532,0.644
3,10000,1,6532,0.459
4,10000,0,6532,0.669
4,10000,1,6532,0.355
5,10000,0,6532,0.676
5,10000,1,6532,0.557
6,10000,0,6532,0.621
6,10000,1,6532,0.463
7,10000,0,6532,0.715
7,10000,1,6532,0.551
8,10000,0,6532,0.763
8,10000,1,6532,0.538
1,100000,0,65389,166.617
1,100000,1,65389,91.188
2,100000,0,65389,98.025
2,100000,1,65389,55.63
3,100000,0,65389,72.461
3,100000,1,65389,39.468
4,100000,0,65389,60.722
4,100000,1,65389,33.327
5,100000,0,65389,67.126
5,100000,1,65389,57.104
6,100000,0,65389,67.701
6,100000,1,65389,49.189
7,100000,0,65389,53.243
7,100000,1,65389,38.825
8,100000,0,65389,49.917
8,100000,1,65389,37.471
1,15000,0,9780,5.072
1,15000,1,9780,2.922
2,15000,0,9780,2.741
2,15000,1,9780,1.464
3,15000,0,9780,1.814
3,15000,1,9780,1.011
4,15000,0,9780,1.479
4,15000,1,9780,1.062
5,15000,0,9780,2.261
5,15000,1,9780,1.443
6,15000,0,9780,1.515
6,15000,1,9780,1.124
7,15000,0,9780,1.258
7,15000,1,9780,0.883
8,15000,0,9780,1.135
8,15000,1,9780,0.812
1,200,0,127,0.001
1,200,1,128,0
2,200,0,127,0.001
2,200,1,128,0
3,200,0,127,0.001
3,200,1,128,0
4,200,0,127,0.002
4,200,1,128,0
5,200,0,127,0.001
5,200,1,128,0
6,200,0,127,0.003
6,200,1,128,0
7,200,0,127,0.001
7,200,1,128,0.006
8,200,0,127,0.004
8,200,1,128,0.002
1,2000,0,1302,0.094
1,2000,1,1303,0.056
2,2000,0,1302,0.061
2,2000,1,1303,0.03
3,2000,0,1302,0.039
3,2000,1,1303,0.024
4,2000,0,1302,0.033
4,2000,1,1303,0.021
5,2000,0,1302,0.028
5,2000,1,1303,0.02
6,2000,0,1302,0.025
6,2000,1,1303,0.017
7,2000,0,1302,0.025
7,2000,1,1303,0.017
8,2000,0,1302,0.035
8,2000,1,1303,0.023
1,20000,0,13082,7.257
1,20000,1,13082,3.653
2,20000,0,13082,3.628
2,20000,1,13082,2.246
3,20000,0,13082,3.263
3,20000,1,13082,1.573
4,20000,0,13082,2.22
4,20000,1,13082,1.369
5,20000,0,13082,2.83
5,20000,1,13082,1.819
6,20000,0,13082,1.979
6,20000,1,13082,1.799
7,20000,0,13082,2.16
7,20000,1,13082,2.145
8,20000,0,13082,2.635
8,20000,1,13082,1.733
1,30000,0,19596,18.875
1,30000,1,19596,8.327
2,30000,0,19596,7.992
2,30000,1,19596,4.355
3,30000,0,19596,6.615
3,30000,1,19596,3.398
4,30000,0,19596,5.481
4,30000,1,19596,2.601
5,30000,0,19596,5.598
