nThreads,lenSequences,type,lcs,timeElapsed[s]
1,1,0,0,0
1,1,1,1,0
2,1,0,0,0
2,1,1,1,0
3,1,0,0,0
3,1,1,1,0
4,1,0,0,0.001
4,1,1,1,0
5,1,0,0,0
5,1,1,1,0
6,1,0,0,0.001
6,1,1,1,0.001
7,1,0,0,0.002
7,1,1,1,0
8,1,0,0,0.001
8,1,1,1,0.012
1,100,0,57,0
1,100,1,57,0
2,100,0,57,0
2,100,1,57,0
3,100,0,57,0
3,100,1,57,0
4,100,0,57,0
4,100,1,57,0
5,100,0,57,0
5,100,1,57,0
6,100,0,57,0.002
6,100,1,57,0
7,100,0,57,0.001
7,100,1,57,0.002
8,100,0,57,0.001
8,100,1,57,0
1,1000,0,643,0.017
1,1000,1,643,0.012
2,1000,0,643,0.012
2,1000,1,643,0.006
3,1000,0,643,0.009
3,1000,1,643,0.004
4,1000,0,643,0.008
4,1000,1,643,0.005
5,1000,0,643,0.007
5,1000,1,643,0.006
6,1000,0,643,0.006
6,1000,1,643,0.01
7,1000,0,643,0.04
7,1000,1,643,0.005
8,1000,0,643,0.015
8,1000,1,643,0.014
1,10000,0,6532,1.649
1,10000,1,6532,0.917
2,10000,0,6532,0.931
2,10000,1,6532,0.51
3,10000,0,6532,0.634
3,10000,1,6532,0.348
4,10000,0,6532,0.509
4,10000,1,6532,0.271
5,10000,0,6532,0.52
5,10000,1,6532,0.417
6,10000,0,6532,0.466
6,10000,1,6532,0.351
7,10000,0,6532,0.42
7,10000,1,6532,0.309
8,10000,0,6532,0.412
8,10000,1,6532,0.292
1,100000,0,65389,160.987
1,100000,1,65389,92.19
2,100000,0,65389,86.562
2,100000,1,65389,48.492
3,100000,0,65389,66.783
3,100000,1,65389,35.301
4,100000,0,65389,63.081
4,100000,1,65389,65.745
5,100000,0,65389,92.823
5,100000,1,65389,54.468
6,100000,0,65389,58.729
6,100000,1,65389,46.663
7,100000,0,65389,52.087
7,100000,1,65389,36.472
8,100000,0,65389,52.569
8,100000,1,65389,36.347
1,15000,0,9780,5.257
1,15000,1,9780,2.895
2,15000,0,9780,2.215
2,15000,1,9780,1.129
3,15000,0,9780,1.405
3,15000,1,9780,0.762
4,15000,0,9780,1.208
4,15000,1,9780,0.651
5,15000,0,9780,1.269
5,15000,1,9780,0.98
6,15000,0,9780,1.471
6,15000,1,9780,1.13
7,15000,0,9780,1.348
7,15000,1,9780,0.891
8,15000,0,9780,1.094
8,15000,1,9780,0.8
1,200,0,127,0.001
1,200,1,128,0
2,200,0,127,0.001
2,200,1,128,0
3,200,0,127,0.001
3,200,1,128,0.003
4,200,0,127,0.001
4,200,1,128,0
5,200,0,127,0.003
5,200,1,128,0
6,200,0,127,0.003
6,200,1,128,0.001
7,200,0,127,0.002
7,200,1,128,0.003
8,200,0,127,0.023
8,200,1,128,0.027
1,2000,0,1302,0.095
1,2000,1,1303,0.056
2,2000,0,1302,0.058
2,2000,1,1303,0.033
3,2000,0,1302,0.04
3,2000,1,1303,0.026
4,2000,0,1302,0.033
4,2000,1,1303,0.019
5,2000,0,1302,0.033
5,2000,1,1303,0.023
6,2000,0,1302,0.03
6,2000,1,1303,0.021
7,2000,0,1302,0.028
7,2000,1,1303,0.019
8,2000,0,1302,0.045
8,2000,1,1303,0.024
1,20000,0,13082,7.984
1,20000,1,13082,3.623
2,20000,0,13082,3.581
2,20000,1,13082,2.196
3,20000,0,13082,3.254
3,20000,1,13082,1.491
4,20000,0,13082,2.182
4,20000,1,13082,1.336
5,20000,0,13082,2.685
5,20000,1,13082,1.853
6,20000,0,13082,2.013
6,20000,1,13082,1.733
7,20000,0,13082,2.16
7,20000,1,13082,1.967
8,20000,0,13082,2.666
8,20000,1,13082,1.562
1,30000,0,19596,17.149
1,30000,1,19596,8.378
2,30000,0,19596,7.887
2,30000,1,19596,4.377
3,30000,0,19596,6.942
3,30000,1,19596,3.157
4,30000,0,19596,4.581
4,30000,1,19596,2.746
